word,translation,ipa,example,exampleTranslation,level,topic
left-hand,"левый, с левой стороны",/ˌlɛfˈthænd/,The left-hand door is open.,Левая дверь открыта,A2,Описания
leg,нога,/lɛg/,My leg is tired from walking.,Моя нога устала от ходьбы,A1,Тело и здоровье
lemon,лимон,/ˈlem.ən/,For this recipe you need the juice of two lemons.,лимонный сок. Для этого рецепта нужен сок двух лимонов.,A2,Еда
lemonade,лимонад,/ˌlem.əˈneɪd/,There's both lemonade and iced tea in the fridge.,"В холодильнике есть и лимонад, и холодный чай.",A2,Еда
lend — lent — lent,"одалживать, давать взаймы",/lɛnd/,Can you lend me a pen?,Ты можешь одолжить мне ручку?,A2,Отношения
less,меньше,/lɛs/,I eat less meat now.,Я сейчас ем меньше мяса,A2,Описания
lesson,урок,/ˈlɛsən/,The English lesson is fun.,Урок английского интересный,A1,Учеба
let somebody know (something),сообщить кому-то что-то,/lɛt ˈsəmˌbɑdi noʊ ˈsəmθɪŋ/,Let me know when you arrive.,"Дай мне знать, когда приедешь",A2,Общение
let's,давай(те),/lɛts/,Let's go to the park!,Пойдём в парк!,A2,Общение
letter,письмо,/ˈlɛtər/,I wrote a letter to my friend.,Я написал письмо другу,A1,Общение
letter,буква,/ˈlɛtər/,A is the first letter.,А — первая буква,A2,Общение
lettuce,салат-латук,/ˈlet̬.əs/,Do you want lettuce and tomato on your sandwich?.,Хочешь в сэндвич салат и помидор?,B1,Еда
level,уровень (навыков),/ˈlɛvəl/,She's at a high level.,Она на высоком уровне,A2,Учеба
library,библиотека,/ˈlaɪbrɛˌri/,The library has many books.,В библиотеке много книг,A2,Места
license,"лицензия, права",/ˈlaɪsəns/,I have a driver's license.,У меня есть водительские права,A2,Общение
lie — lay — lain,лежать,/laɪ/,I want to lie down.,Я хочу прилечь.,A2,Действия
lie down,прилечь,/laɪ daʊn/,I need to lie down for a minute.,Мне нужно прилечь на минутку,A2,Фразовые глаголы
life,жизнь,/laɪf/,Life is beautiful.,Жизнь прекрасна.,A1,Время
lift,"подвезти, подъём",/lɪft/,Can you give me a lift?,Ты не можешь подбросить меня?,A2,Транспорт
light,светлый,/laɪt/,She has light hair.,У неё светлые волосы,A1,Описания
light,"светильник, лампа",/laɪt/,Switch off the light.,Выключи свет.,A2,Дом
light,лёгкий (не тяжёлый),/laɪt/,My bag is light.,Моя сумка лёгкая,A2,Описания
like,нравиться,/laɪk/,I like chocolate.,Я люблю шоколад,A1,Эмоции
like,как (подобно),/laɪk/,He is like his father.,Он похож на своего отца,A2,Служебные слова
line,"линия, черта",/laɪn/,Draw a line.,Нарисуй линию,A2,Описания
lion,лев,/laɪən/,The lion is very strong.,Лев очень сильный.,A2,Животные
list,список,/lɪst/,Make a shopping list.,Составь список покупок,A2,Общение
listen — listened,слушать,/ˈlɪsən/,Listen to the teacher.,Слушай учителя.,A1,Учеба
liter,литр,/ˈlitər/,A liter of milk.,Литр молока,A2,Описания
little,маленький (юный),/ˈlɪtəl/,She is a little girl.,Она маленькая девочка.,A1,Люди
little,маленький,/ˈlɪtəl/,I have a little problem.,У меня небольшая проблема,A1,Описания
live at,жить на,/lɪv æt/,I live at five Main Street.,"Я живу по адресу: Главная улица, 5.",A1,Путешествие
live in,жить в,/lɪv ɪn/,I live in a small town.,Я живу в маленьком городе.,A1,Путешествие
living room,гостиная,/ˈlɪvɪŋ rum/,Come to the living room.,Приходи в гостиную.,A1,Дом
loaf,буханка,/loʊf/,I bought a loaf of bread.,Я купил буханку хлеба.,B2,Еда
long,долгий,/lɔŋ/,It was a long day.,Это был длинный день.,A1,Время
long,длинный,/lɔŋ/,She has long hair.,У неё длинные волосы,A1,Описания
long,долго (о времени),/lɔŋ/,I waited long.,Я долго ждал.,A2,Время
long,длинный (текст),/lɔŋ/,It's a long letter.,Это длинное письмо,A2,Описания
look — looked,смотреть,/lʊk/,Look at the board.,Смотри на доску.,A1,Учеба
look after somebody,присматривать за,/lʊk ˈæftər ˈsəmˌbɑdi/,Look after your brother.,Присмотри за братом,A2,Фразовые глаголы
look after something,"ухаживать, следить",/lʊk ˈæftər ˈsəmθɪŋ/,Look after the plants.,Ухаживай за растениями,A2,Фразовые глаголы
look for,искать,/lʊk/,I am looking for my keys.,Я ищу свои ключи,A1,Фразовые глаголы
look nice,выглядеть хорошо,/lʊk nis/,You look nice today.,Ты сегодня хорошо выглядишь,A2,Описания
look strange,выглядеть странно,/lʊk streɪnʤ/,This looks strange.,Это выглядит странно,A2,Описания
lose — lost — lost,терять,/luz/,Don't lose your keys!,Не потеряй свои ключи!,A2,Дом
lost,"потерявшийся, заблудившийся",/lɔst/,"I'm lost, can you help?","Я потерялся, не поможешь?",A2,Описания
lots,много,/lɑts/,Lots of people came.,Пришло много людей,A1,Описания
lots of love,с любовью,/lɑts əv ləv/,"Lots of love, Kate.","С любовью, Кейт",A2,Общение
loud,громкий,/laʊd/,The music is too loud.,Музыка слишком громкая,A2,Описания
love,любить (семью),/ləv/,I love my parents.,Я люблю своих родителей,A1,Эмоции
love,любить (романтика),/ləv/,She loves her husband.,Она любит своего мужа,A1,Эмоции
love,"обожать, очень любить",/ləv/,I love ice cream.,Я люблю мороженое,A1,Эмоции
love,любовь,/ləv/,All my love to you.,Всего тебе самого доброго,A2,Общение
low,низкий (уровень),/loʊ/,The price is low.,Цена низкая,A2,Описания
luck,удача,/lək/,Good luck on your test!,Удачи на тесте!,A2,Эмоции
lucky,"счастливый, удачливый",/ˈləki/,I'm lucky to know you.,"Мне повезло, что я тебя знаю",A2,Эмоции
luggage,багаж,/ˈləgɪʤ/,Don't forget your luggage!,Не забудь свой багаж!,A2,Транспорт
lunch,обед,/lʌntʃ/,What's for lunch?,Что у нас на обед?,A1,Еда
lunchtime,обеденное время,/ˈlənʧˌtaɪm/,It's lunchtime!,Время обеда!,A2,Еда
machine,"машина, аппарат",/məˈʃin/,This machine is new.,Эта машина новая,A2,Технологии
mad,"злой, сердитый",/mæd/,My mom is mad at me.,Мама злится на меня,A2,Эмоции
magazine,журнал,/ˈmægəˌzin/,I read a magazine every week.,Я читаю журнал каждую неделю.,A2,Медиа
magic,"фокусы, магия",/ˈmæʤɪk/,I love magic shows.,Я люблю магические шоу.,A2,Медиа
mail,почта (письма),/meɪl/,I got the mail today.,Я получил почту сегодня,A2,Общение
main course,основное блюдо,/ˌmeɪnˈkɔːrs/,I had salmon for my main course,На основное блюдо я взял лосось.,A2,Еда
main course,основное блюдо,/meɪn kɔrs/,The main course is fish.,Основное блюдо — рыба.,A2,Еда
make — made — made,"делать, производить",/meɪk/,I make coffee every morning.,Я варю кофе каждое утро.,A1,Еда
